BRANCH_ID|CUSTOMER_ID|PANEL_ID|INV_DATE|PRODUCT_ID|SELL_PRICE|QTY_SOLD|QTY_BONUS|INV_NO|SECTOR_ID|QTY_BNS_SDM|QTY_BNS_CONV|TOT_QTY_BNS|NETT_QTY_SOLD|SO_SAPORA_NO|CUST_SHIP_ID_ORACLE|
21|2100574||03-Dec-2020|0070044|61,600.00|12|0|400106200021074|R1|0|0|0|12||217669|
21|2100574||03-Dec-2020|0070085|30,000.00|12|0|400106200021074|R1|0|0|0|12||217669|
21|2100574||03-Dec-2020|0070093|59,600.00|12|0|400106200021074|R1|0|0|0|12||217669|
21|2100588||03-Dec-2020|0070009|22,800.00|4|0|400106200021004|A1|0|0|0|4||216904|
21|2100588||03-Dec-2020|0070016|26,200.00|6|0|400106200021004|A1|0|0|0|6||216904|
21|2100588||03-Dec-2020|0070045|13,350.00|6|0|400106200021004|A1|0|0|0|6||216904|
21|2100588||03-Dec-2020|0070059|22,900.00|6|0|400106200021004|A1|0|0|0|6||216904|
21|2100588||03-Dec-2020|0070085|30,000.00|6|0|400106200021004|A1|0|0|0|6||216904|
21|2100588||03-Dec-2020|0070086|62,600.00|-6|0|410106200001119|A1|0|0|0|-6||216904|
21|2100814||03-Dec-2020|0070045|13,350.00|10|0|400106200021034|D2|0|0|0|10||217066|
21|2100814||03-Dec-2020|0070046|28,700.00|-10|0|410106200001118|D2|0|0|0|-10||217066|
21|2100814||03-Dec-2020|0070071|40,300.00|-10|0|410106200001118|D2|0|0|0|-10||217066|
21|2100814||04-Dec-2020|0070046|28,700.00|5|0|400106200021085|D2|0|0|0|5||217066|
21|2100814||04-Dec-2020|0070071|40,300.00|10|0|400106200021085|D2|0|0|0|10||217066|
21|2101790||04-Dec-2020|0070039|23,000.00|6|0|400106200021088|A1|0|0|0|6||217633|
21|2101790||04-Dec-2020|0070071|40,300.00|6|0|400106200021088|A1|0|0|0|6||217633|
21|2103706||02-Dec-2020|0070085|30,000.00|2|0|400106200020991|A1|0|0|0|2||216990|
21|2103706||02-Dec-2020|0070154|72,500.00|1|0|400106200020991|A1|0|0|0|1||216990|
21|2104484||02-Dec-2020|0070020|31,625.00|2|0|400106200020967|A1|0|0|0|2||217044|
21|2104484||02-Dec-2020|0070049|17,600.00|2|0|400106200020967|A1|0|0|0|2||217044|
21|2104940||02-Dec-2020|0070048|98,850.00|60|0|400106200021000|D1|0|0|0|60||217827|
21|2104940||02-Dec-2020|0070059|22,900.00|200|0|400106200021000|D1|0|0|0|200||217827|
21|2104940||02-Dec-2020|0070093|59,600.00|60|0|400106200021000|D1|0|0|0|60||217827|
21|2105103||03-Dec-2020|0070039|23,000.00|2|0|400106200021020|A1|0|0|0|2||216829|
21|2105103||03-Dec-2020|0070041|33,800.00|2|0|400106200021020|A1|0|0|0|2||216829|
21|2105103||03-Dec-2020|0070045|13,350.00|2|0|400106200021020|A1|0|0|0|2||216829|
21|2105183||03-Dec-2020|0070045|13,350.00|3|0|400106200021044|A1|0|0|0|3||217234|
21|2105183||03-Dec-2020|0070049|17,600.00|3|0|400106200021044|A1|0|0|0|3||217234|
21|2105255||02-Dec-2020|0070044|61,600.00|6|0|400106200020983|A1|0|0|0|6||216987|
21|2105464||02-Dec-2020|0070016|26,200.00|25|0|400106200020949|R1|0|0|0|25||218022|
21|2105464||05-Dec-2020|0070016|26,200.00|25|0|400106200021154|R1|0|0|0|25||218022|
21|2105464||05-Dec-2020|0070016|26,200.00|-25|0|410106200001124|R1|0|0|0|-25||218022|
21|2105531||03-Dec-2020|0070020|31,625.00|3|0|400106200021047|A1|0|0|0|3||217811|
21|2105531||03-Dec-2020|0070039|23,000.00|2|0|400106200021047|A1|0|0|0|2||217811|
21|2105531||03-Dec-2020|0070045|13,350.00|3|0|400106200021047|A1|0|0|0|3||217811|
21|2105627||04-Dec-2020|0070093|59,600.00|6|0|400106200021103|A1|0|0|0|6||217950|
21|2105627||04-Dec-2020|0070155|65,450.00|6|0|400106200021103|A1|0|0|0|6||217950|
21|2105627||05-Dec-2020|0070022|31,625.00|6|0|400106200021155|A1|0|0|0|6||217950|
21|2105654||04-Dec-2020|0070016|26,200.00|100|0|400106200021142|D1|0|0|0|100||217839|
21|2105654||04-Dec-2020|0070021|20,350.00|100|0|400106200021142|D1|0|0|0|100||217839|
21|2105654||04-Dec-2020|0070041|33,800.00|100|0|400106200021142|D1|0|0|0|100||217839|
21|2105654||04-Dec-2020|0070045|13,350.00|30|0|400106200021142|D1|0|0|0|30||217839|
21|||03-Dec-2020|0070044|61,600.00|6|0|400106200021076|A1|0|0|0|6||321962|
21|||03-Dec-2020|0070045|13,350.00|6|0|400106200021076|A1|0|0|0|6||321962|
21|||03-Dec-2020|0070059|22,900.00|6|0|400106200021076|A1|0|0|0|6||321962|
21|||03-Dec-2020|0070085|30,000.00|6|0|400106200021076|A1|0|0|0|6||321962|
21|||05-Dec-2020|0070043|43,900.00|5|0|400106200021166|A1|0|0|0|5||235145|
21|||05-Dec-2020|0070043|43,900.00|-5|0|410106200001129|A1|0|0|0|-5||235145|
21|||05-Dec-2020|0070086|62,600.00|-22|0|410106200001129|A1|0|0|0|-22||235145|
22|2200136||04-Dec-2020|0070026|31,500.00|3|0|400107200027057|A1|0|0|0|3||232944|
22|2200136||04-Dec-2020|0070073|34,900.00|5|0|400107200027057|A1|0|0|0|5||232944|
22|2200136||04-Dec-2020|0070085|30,000.00|3|0|400107200027057|A1|0|0|0|3||232944|
